brand,expression,whisky_type,age_statement,pack_size_ml,bottle_price,price_band,is_gift_boxed,peat_profile,tier,store_type,shelf_zone,display_type,promo_flag,city_region,week,purchase_type,occasion,basket_role,repeat_purchase_flag,days_since_last_purchase,units_bought,estimated_buyer_stage,product_desc_raw,shelf_tag_raw,promo_text_raw,notes_text
Chivas Regal,12,blend,12.0,1000,526.67,premium_window,0,light,core,liquor_store,lower,standard,0,Centurion,27,self,host gift,primary,0,,1,exploratory,Chivas Regal 12 gift pack,Chivas Regal 12 Gift,,
Johnnie Walker,Black Label,blend,12.0,1000,512.6,premium_window,1,medium,core,liquor_store,end_cap,standard,1,West Rand,6,self,try something else,primary,0,9.0,1,familiar,Johnnie Walker Black Label single malt gift box,Johnnie Walker Black Label 1000ML,price drop while stock lasts,asked for something smoother than usual
Laphroaig,10,single_malt,10.0,750,900.39,stretch,0,heavy,distinctive,retail_chain,feature_display,standard,0,East Rand,14,self,host gift,primary,0,,1,exploratory,Laphroaig 10 750ml,Laphroaig 10 whisky,,
Johnnie Walker,Red Label,blend,,1000,345.04,step_up,0,light,entry,retail_chain,feature_display,promo_stack,1,Pretoria East,49,gift,host gift,primary,1,27.0,1,familiar,Johnnie Walker Red Label 1000ml,JW Red Label 1000,gift ready bottle special,buyer traded up from a usual blend
Lagavulin,16,single_malt,16.0,750,1559.77,top_shelf,1,heavy,distinctive,liquor_store,lower,promo_stack,1,Pretoria East,5,mixed,try something else,primary,0,126.0,1,exploratory,Lagavulin 16 blend gift box,Lagavulin 16 WHSKY,gift box offer,"buyer seemed curious, not fully convinced"
Laphroaig,10,single_malt,10.0,750,856.06,stretch,0,heavy,distinctive,retail_chain,lower,gift_section,0,Midrand,4,self,birthday run,primary,1,54.0,1,preference_led,Laphroaig 10 whisky,Laphroaig 10 - R856,,"buyer seemed curious, not fully convinced"
Laphroaig,10,single_malt,10.0,750,1088.0,top_shelf,0,heavy,distinctive,retail_chain,end_cap,promo_stack,1,Midrand,30,self,,primary,0,,1,preference_led,Laphroaig 10 gift pack,Laphroaig 10 750ML,price drop while stock lasts,
Johnnie Walker,Red Label,blend,,750,245.47,budget_edge,1,light,entry,liquor_store,feature_display,standard,0,Midrand,4,self,weekend top-up,primary,0,37.0,1,entry,Johnnie Walker Red Label whisky gift box,Johnnie Walker Red Label - R245,,
Johnnie Walker,Black Label,blend,12.0,750,436.11,step_up,1,medium,core,liquor_store,lower,promo_stack,1,East Rand,52,gift,host gift,primary,0,,1,preference_led,Johnnie Walker Black Label 750ml gift box,JW Black Label 750,gift box offer,"repeat-looking purchase, no real hesitation"
Monkey Shoulder,Blended Malt,blend,,750,413.55,step_up,1,medium,core,retail_chain,lower,standard,1,Centurion,45,gift,weekend top-up,primary,0,,2,familiar,Monkey Shoulder Blended Malt Scotch 750ml,MS Blended Malt 750,gift box offer,"Repeat-looking purchase, no real hesitation."
Lagavulin,16,single_malt,16.0,750,1181.14,top_shelf,0,heavy,distinctive,retail_chain,lower,standard,0,Randburg,28,self,weekend top-up,primary,1,49.0,1,preference_led,Lagavulin 16 single malt,Lagavulin 16 750 ml,,promo got attention but not a big basket
Glenfiddich,12,single_malt,12.0,700,447.47,step_up,0,light,premium,liquor_store,end_cap,standard,0,Fourways,21,self,weekend top-up,primary,1,14.0,1,exploratory,Glenfiddich 12 blend,Glenfiddich 12 whisky,,promo got attention but not a big basket
Monkey Shoulder,Blended Malt,blend,,750,404.01,step_up,1,medium,core,liquor_store,end_cap,gift_section,0,Pretoria East,1,mixed,quiet pour,primary,0,95.0,1,exploratory,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt Gift,,Asked for something smoother than usual.
Johnnie Walker,Red Label,blend,,750,253.71,budget_edge,0,light,entry,liquor_store,end_cap,standard,0,Soweto,32,self,braai night,primary,0,,1,familiar,Johnnie Walker Red Label 750ml,Johnnie Walker Red Label whisky,,
Johnnie Walker,Black Label,blend,12.0,750,430.25,step_up,1,medium,core,premium_store,end_cap,gift_section,1,Randburg,28,mixed,weekend top-up,primary,0,,2,exploratory,Johnnie Walker Black Label single malt gift box,Johnnie Walker Black Label - R430,price drop while stock lasts,"Shopper hovered, then came back after another aisle."
Laphroaig,10,single_malt,10.0,750,1061.41,stretch,0,heavy,distinctive,premium_store,eye_level,standard,0,Midrand,39,mixed,last-minute dinner,primary,0,,1,familiar,Laphroaig 10 Scotch 750ml,Laphroaig 10 750ML,,"shopper hovered, then came back after another aisle"
Glenfiddich,12,single_malt,12.0,750,475.33,step_up,0,light,premium,retail_chain,lower,standard,0,Soweto,1,self,weekend top-up,primary,1,49.0,1,exploratory,Glenfiddich 12 single malt,Glenfiddich 12 - R475,,Buyer traded up from a usual blend.
Laphroaig,10,single_malt,10.0,750,891.71,stretch,0,heavy,distinctive,retail_chain,lower,standard,1,Fourways,17,mixed,birthday run,primary,0,37.0,1,preference_led,Laphroaig 10 blend,Laphroaig 10 750 ML,gift ready bottle special,
Glenfiddich,12,single_malt,12.0,750,455.32,step_up,0,light,premium,liquor_store,feature_display,standard,0,Sandton,52,mixed,birthday run,primary,1,46.0,1,familiar,Glenfiddich 12 gift pack,Glenfiddich 12 Gift,,looked like a gift decision more than a regular buy
Johnnie Walker,Black Label,blend,12.0,750,452.45,step_up,0,medium,core,liquor_store,feature_display,standard,0,Fourways,24,self,birthday run,primary,1,39.0,1,preference_led,Johnnie Walker Black Label blend,Johnnie Walker Black Label Gift,,
Monkey Shoulder,Blended Malt,blend,,750,395.74,step_up,0,medium,core,liquor_store,feature_display,standard,0,Randburg,4,self,braai night,primary,0,,1,preference_led,Monkey Shoulder Blended Malt gift pack,Monkey Shoulder Blended Malt Gift,,
Johnnie Walker,Black Label,blend,12.0,750,377.99,step_up,0,medium,core,retail_chain,lower,gift_section,0,East Rand,17,mixed,quiet pour,primary,0,30.0,1,preference_led,Johnnie Walker Black Label 750ml,Johnnie Walker Black Label Gift,,
Chivas Regal,12,blend,12.0,1000,492.27,step_up,0,light,core,liquor_store,lower,standard,0,Pretoria East,24,self,quiet pour,primary,0,34.0,1,familiar,Chivas Regal 12 Scotch 1000ml,Chivas Regal 12 - R492,,looked like a gift decision more than a regular buy
Laphroaig,10,single_malt,10.0,750,1010.46,top_shelf,0,heavy,distinctive,liquor_store,end_cap,standard,1,Soweto,52,mixed,host gift,primary,0,48.0,1,familiar,Laphroaig 10 Scotch 750ml,Laphroaig 10 whisky,gift ready bottle special,"repeat-looking purchase, no real hesitation"
Glenfiddich,12,single_malt,12.0,700,411.81,step_up,0,light,premium,liquor_store,feature_display,standard,0,West Rand,48,mixed,last-minute dinner,primary,0,,1,familiar,Glenfiddich 12 gift pack,Glenfiddich 12 700 ML,,
Johnnie Walker,Red Label,blend,,750,245.3,budget_edge,0,light,entry,retail_chain,eye_level,promo_stack,1,Rosebank,5,gift,corporate gift,primary,0,66.0,1,entry,Johnnie Walker Red Label 750ml,Johnnie Walker Red Label - R245,2 for less on selected whisky,
Johnnie Walker,Red Label,blend,,750,255.38,budget_edge,0,light,entry,premium_store,lower,gift_section,0,Randburg,20,self,,add_on,0,38.0,1,entry,Johnnie Walker Red Label gift pack,J Walker Red Label Gift,,looked like a gift decision more than a regular buy
Johnnie Walker,Black Label,blend,12.0,1000,573.11,premium_window,0,medium,core,retail_chain,feature_display,standard,0,Fourways,44,self,,primary,1,28.0,1,familiar,Johnnie Walker Black Label Scotch 1000ml,Johnnie Walker Black Label Gift,,"shopper hovered, then came back after another aisle"
Johnnie Walker,Red Label,blend,,1000,301.75,budget_edge,0,light,entry,retail_chain,eye_level,promo_stack,1,Randburg,22,self,weekend top-up,primary,0,,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label Gift,premium pour week,
Johnnie Walker,Red Label,blend,,1000,351.04,budget_edge,1,light,entry,liquor_store,end_cap,gift_section,0,Soweto,11,gift,quiet pour,primary,0,32.0,1,familiar,Johnnie Walker Red Label Scotch 1000ml gift box,Johnnie Walker Red Label whisky,,
Johnnie Walker,Red Label,blend,,750,295.66,budget_edge,0,light,entry,premium_store,feature_display,standard,0,Midrand,51,self,quiet pour,primary,0,46.0,1,entry,Johnnie Walker Red Label single malt,JW Red Label 750,,"buyer seemed curious, not fully convinced"
Johnnie Walker,Red Label,blend,,750,260.11,budget_edge,1,light,entry,retail_chain,eye_level,promo_stack,0,East Rand,18,mixed,try something else,add_on,1,40.0,2,entry,Johnnie Walker Red Label 750ml,J Walker Red Label 750ML,,"premium shelf got traffic, but not much conversion late week"
Monkey Shoulder,Blended Malt,blend,,750,333.84,budget_edge,0,medium,core,retail_chain,eye_level,standard,0,East Rand,27,mixed,,primary,0,,1,familiar,Monkey Shoulder Blended Malt 750ml,Monkey Shoulder Blended Malt 750 ml,,asked for something smoother than usual
Glenfiddich,12,single_malt,12.0,700,518.95,step_up,0,light,premium,retail_chain,feature_display,standard,1,Centurion,26,self,,primary,0,76.0,1,familiar,Glenfiddich 12 blend,Glenfiddich 12 / R519,2 for less on selected whisky,Promo got attention but not a big basket.
Laphroaig,10,single_malt,10.0,750,1245.17,top_shelf,0,heavy,distinctive,retail_chain,end_cap,standard,0,Soweto,40,gift,host gift,primary,1,64.0,2,exploratory,Laphroaig 10 single malt,Laphroaig 10 750 ML,,
Glenlivet,12,single_malt,12.0,700,369.84,step_up,1,light,premium,retail_chain,lower,standard,0,Soweto,44,self,weekend top-up,primary,0,81.0,1,preference_led,Glenlivet 12 gift pack,G 12 700,,"premium shelf got traffic, but not much conversion late week"
Chivas Regal,12,blend,12.0,1000,561.98,premium_window,0,light,core,liquor_store,lower,standard,1,Rosebank,20,self,try something else,primary,1,5.0,1,familiar,Chivas Regal 12 blend,CR 12 1000,premium pour week,
Johnnie Walker,Red Label,blend,,1000,326.31,budget_edge,0,light,entry,liquor_store,lower,gift_section,0,Soweto,27,self,try something else,primary,1,50.0,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label Gift,,
Johnnie Walker,Black Label,blend,12.0,750,433.66,step_up,1,medium,core,retail_chain,lower,standard,0,Sandton,39,gift,host gift,primary,0,,1,exploratory,Johnnie Walker Black Label gift pack,Johnnie Walker Black Label whisky,,asked for something smoother than usual
Glenfiddich,12,single_malt,12.0,700,499.72,premium_window,0,light,premium,premium_store,feature_display,gift_section,0,Fourways,31,self,last-minute dinner,primary,1,50.0,1,entry,Glenfiddich 12 single malt,Glenfiddich 12 700 ml,,
Johnnie Walker,Red Label,blend,,750,220.59,budget_edge,0,light,entry,retail_chain,end_cap,standard,1,Midrand,20,self,host gift,primary,1,10.0,2,familiar,Johnnie Walker Red Label single malt,J Walker Red Label whisky,2 for less on selected whisky,staff said peat was a hard sell here
Monkey Shoulder,Blended Malt,blend,,750,425.8,step_up,0,medium,core,liquor_store,end_cap,standard,0,Midrand,7,self,last-minute dinner,add_on,1,49.0,1,exploratory,Monkey Shoulder Blended Malt Scotch 750ml,Monkey Shoulder Blended Malt whisky,,buyer traded up from a usual blend
Laphroaig,10,single_malt,10.0,750,1249.87,top_shelf,0,heavy,distinctive,premium_store,end_cap,gift_section,1,Soweto,35,self,quiet pour,primary,1,61.0,1,exploratory,Laphroaig 10 single malt,L 10 750,shelf talker only,
Glenlivet,12,single_malt,12.0,700,383.38,step_up,0,light,premium,liquor_store,lower,standard,1,Soweto,46,self,special bottle,primary,1,47.0,1,preference_led,Glenlivet 12 blend,Glenlivet 12 700ML,bundle with glassware,
Johnnie Walker,Black Label,blend,12.0,750,410.42,step_up,0,medium,core,liquor_store,lower,standard,0,East Rand,40,self,,primary,1,54.0,1,preference_led,Johnnie Walker Black Label 750ml,Johnnie Walker Black Label 750ML,,
Johnnie Walker,Red Label,blend,,750,262.61,budget_edge,0,light,entry,liquor_store,end_cap,promo_stack,1,East Rand,5,self,braai night,primary,1,9.0,1,entry,Johnnie Walker Red Label single malt,Johnnie Walker Red Label - R263,premium pour week,
Johnnie Walker,Black Label,blend,12.0,1000,623.95,premium_window,1,medium,core,premium_store,lower,standard,1,Midrand,6,mixed,braai night,primary,0,,2,entry,Johnnie Walker Black Label single malt,Johnnie Walker Black Label Gift,gift ready bottle special,buyer traded up from a usual blend
Monkey Shoulder,Blended Malt,blend,,750,419.07,step_up,0,medium,core,retail_chain,feature_display,promo_stack,1,Soweto,33,self,quiet pour,primary,0,61.0,1,exploratory,Monkey Shoulder Blended Malt whisky,Monkey Shoulder Blended Malt 750ML,2 for less on selected whisky,"shopper hovered, then came back after another aisle"
Glenfiddich,12,single_malt,12.0,750,457.89,step_up,0,light,premium,liquor_store,lower,gift_section,0,Midrand,48,self,special bottle,primary,0,,1,preference_led,Glenfiddich 12 blend,Glenfiddich 12 whisky,,staff said peat was a hard sell here
Johnnie Walker,Red Label,blend,,1000,326.82,step_up,0,light,entry,premium_store,eye_level,gift_section,0,Fourways,38,self,special bottle,primary,1,14.0,1,entry,Johnnie Walker Red Label single malt,Johnnie Walker Red Label 1000ML,,asked for something smoother than usual
Chivas Regal,12,blend,12.0,750,431.53,step_up,0,light,core,premium_store,end_cap,standard,0,Rosebank,28,gift,,primary,1,66.0,2,entry,Chivas Regal 12 single malt,Chivas Regal 12 750ML,,picked from the feature end after a long look
Glenlivet,12,single_malt,12.0,700,409.58,step_up,1,light,premium,liquor_store,lower,standard,0,Rosebank,44,self,quiet pour,primary,0,53.0,1,exploratory,Glenlivet 12 Scotch 700ml,Glenlivet 12 700ML,,
Glenlivet,12,single_malt,12.0,750,431.43,step_up,1,light,premium,retail_chain,lower,standard,0,Centurion,29,gift,,primary,0,55.0,1,exploratory,Glenlivet 12 750ml,Glenlivet 12 whisky,,looked like a gift decision more than a regular buy
Johnnie Walker,Red Label,blend,,750,271.85,budget_edge,0,light,entry,retail_chain,end_cap,standard,0,Randburg,26,self,,primary,0,,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label 750 ML,,promo got attention but not a big basket
Chivas Regal,12,blend,12.0,750,388.1,step_up,0,light,core,retail_chain,eye_level,gift_section,0,West Rand,21,gift,quiet pour,primary,0,,1,familiar,Chivas Regal 12 Scotch 750ml,Chivas Regal 12 - R388,,
Glenfiddich,12,single_malt,12.0,750,501.89,step_up,0,light,premium,premium_store,end_cap,gift_section,0,West Rand,49,self,quiet pour,primary,1,34.0,1,preference_led,Glenfiddich 12 Scotch 750ml,G 12 750,,Picked from the feature end after a long look.
Johnnie Walker,Black Label,blend,12.0,1000,531.24,premium_window,0,medium,core,retail_chain,eye_level,standard,1,Sandton,29,self,birthday run,primary,1,51.0,1,familiar,Johnnie Walker Black Label whisky,Johnnie Walker Black Label - R531,bundle with glassware,
Chivas Regal,12,blend,12.0,750,447.24,step_up,0,light,core,retail_chain,end_cap,standard,0,East Rand,10,self,quiet pour,add_on,0,75.0,1,exploratory,Chivas Regal 12 750ml,Chivas Regal 12 Gift,,looked like a gift decision more than a regular buy
Johnnie Walker,Red Label,blend,,750,234.04,budget_edge,1,light,entry,liquor_store,lower,standard,0,West Rand,4,gift,try something else,primary,0,84.0,2,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label whisky,,Looked like a gift decision more than a regular buy.
Chivas Regal,12,blend,12.0,750,352.02,budget_edge,1,light,core,liquor_store,lower,standard,0,Randburg,32,mixed,try something else,add_on,0,48.0,1,exploratory,Chivas Regal 12 blend,Chivas Regal 12 - R352,,
Johnnie Walker,Red Label,blend,,1000,343.14,step_up,0,light,entry,liquor_store,eye_level,standard,0,Rosebank,10,gift,host gift,primary,1,23.0,2,familiar,Johnnie Walker Red Label whisky,Johnnie Walker Red Label 1000ML,,buyer traded up from a usual blend
Glenlivet,12,single_malt,12.0,750,406.64,step_up,0,light,premium,liquor_store,feature_display,standard,1,Sandton,36,gift,quiet pour,primary,1,37.0,1,familiar,Glenlivet 12 blend,Glenlivet 12 750 ml,bundle with glassware,picked from the feature end after a long look
Johnnie Walker,Black Label,blend,12.0,750,403.26,step_up,1,medium,core,retail_chain,end_cap,gift_section,0,Rosebank,11,mixed,host gift,primary,0,,1,exploratory,Johnnie Walker Black Label whisky,Johnnie Walker Black Label - R403,,"premium shelf got traffic, but not much conversion late week"
Glenfiddich,12,single_malt,12.0,750,506.93,step_up,0,light,premium,liquor_store,lower,gift_section,0,Rosebank,3,self,braai night,primary,1,46.0,1,preference_led,Glenfiddich 12 750ml,Glenfiddich 12 750 ml,,promo got attention but not a big basket
Glenfiddich,12,single_malt,12.0,750,491.81,premium_window,0,light,premium,premium_store,feature_display,standard,1,Fourways,36,mixed,braai night,primary,1,25.0,1,familiar,Glenfiddich 12 gift pack,Glenfiddich 12 750 ml,bundle with glassware,"Buyer seemed curious, not fully convinced."
Chivas Regal,12,blend,12.0,750,362.97,step_up,1,light,core,premium_store,eye_level,standard,0,Soweto,52,gift,quiet pour,primary,0,,1,entry,Chivas Regal 12 single malt,Chivas Regal 12 - R363,,buyer traded up from a usual blend
Monkey Shoulder,Blended Malt,blend,,750,388.13,step_up,0,medium,core,liquor_store,end_cap,gift_section,1,Sandton,35,mixed,,primary,0,44.0,1,preference_led,Monkey Shoulder Blended Malt 750ml,Monkey Shoulder Blended Malt 750 ml,bundle with glassware,"buyer seemed curious, not fully convinced"
Lagavulin,16,single_malt,16.0,750,1336.76,top_shelf,1,heavy,distinctive,liquor_store,lower,standard,0,Rosebank,24,self,special bottle,primary,0,44.0,1,exploratory,Lagavulin 16 gift pack,Lagavulin 16 750ML,,
Lagavulin,16,single_malt,16.0,750,1439.54,top_shelf,0,heavy,distinctive,retail_chain,feature_display,standard,1,Fourways,26,gift,,primary,0,,1,familiar,Lagavulin 16 blend,Lagavulin 16 750ML,price drop while stock lasts,buyer traded up from a usual blend
Glenfiddich,12,single_malt,12.0,750,475.21,premium_window,0,light,premium,liquor_store,eye_level,gift_section,0,Fourways,24,mixed,braai night,primary,1,42.0,2,preference_led,Glenfiddich 12 whisky,Glenfiddich 12 Gift,,buyer traded up from a usual blend
Monkey Shoulder,Blended Malt,blend,,750,368.88,step_up,0,medium,core,liquor_store,lower,standard,0,East Rand,1,self,braai night,primary,0,,1,entry,Monkey Shoulder Blended Malt gift pack,MS Blended Malt 750,,promo got attention but not a big basket
Johnnie Walker,Red Label,blend,,750,232.39,budget_edge,0,light,entry,retail_chain,end_cap,standard,1,Rosebank,20,self,last-minute dinner,primary,0,34.0,2,entry,Johnnie Walker Red Label gift pack,Johnnie Walker Red Label 750 ml,price drop while stock lasts,
Johnnie Walker,Black Label,blend,12.0,750,399.48,step_up,0,medium,core,liquor_store,eye_level,gift_section,0,Fourways,52,mixed,birthday run,primary,1,21.0,2,exploratory,Johnnie Walker Black Label whisky,Johnnie Walker Black Label - R399,,promo got attention but not a big basket
Glenlivet,12,single_malt,12.0,750,484.12,premium_window,0,light,premium,retail_chain,end_cap,gift_section,0,Sandton,50,mixed,special bottle,primary,1,15.0,1,familiar,Glenlivet 12 gift pack,Glenlivet 12 Gift,,
Glenlivet,12,single_malt,12.0,700,445.13,step_up,0,light,premium,retail_chain,lower,promo_stack,0,Sandton,52,self,,primary,1,26.0,1,exploratory,Glenlivet 12 blend,Glenlivet 12 / R445,,
Monkey Shoulder,Blended Malt,blend,,750,390.85,step_up,1,medium,core,retail_chain,lower,promo_stack,0,Centurion,45,gift,host gift,primary,0,,1,familiar,Monkey Shoulder Blended Malt single malt gift box,MS Blended Malt 750,,
Monkey Shoulder,Blended Malt,blend,,750,415.18,step_up,1,medium,core,liquor_store,feature_display,gift_section,1,Rosebank,27,mixed,,primary,0,,1,exploratory,Monkey Shoulder Blended Malt blend,Monkey Shoulder Blended Malt whisky,gift box offer,looked like a gift decision more than a regular buy
Johnnie Walker,Red Label,blend,,750,225.35,budget_edge,0,light,entry,liquor_store,lower,gift_section,0,East Rand,7,mixed,braai night,add_on,0,,1,entry,Johnnie Walker Red Label 750ml,Johnnie Walker Red Label 750ML,,
Chivas Regal,12,blend,12.0,750,367.2,step_up,0,light,core,retail_chain,feature_display,promo_stack,0,Randburg,4,gift,birthday run,primary,0,,1,familiar,Chivas Regal 12 single malt,Chivas Regal 12 750ML,,"repeat-looking purchase, no real hesitation"
Chivas Regal,12,blend,12.0,1000,512.15,step_up,0,light,core,retail_chain,lower,standard,0,Randburg,3,self,weekend top-up,primary,1,52.0,1,exploratory,Chivas Regal 12 blend,CR 12 1000,,promo got attention but not a big basket
Glenfiddich,12,single_malt,12.0,750,476.78,premium_window,1,light,premium,liquor_store,eye_level,standard,0,Sandton,51,gift,special bottle,primary,0,38.0,1,familiar,Glenfiddich 12 Scotch 750ml,Glenfiddich 12 - R477,,"shopper hovered, then came back after another aisle"
Johnnie Walker,Red Label,blend,,750,290.36,budget_edge,0,light,entry,premium_store,end_cap,standard,0,Centurion,49,self,,add_on,1,31.0,1,familiar,Johnnie Walker Red Label Scotch 750ml,Johnnie Walker Red Label - R290,,"buyer seemed curious, not fully convinced"
Lagavulin,16,single_malt,16.0,750,1275.05,top_shelf,1,heavy,distinctive,premium_store,end_cap,gift_section,0,Pretoria East,28,gift,try something else,primary,0,,1,familiar,Lagavulin 16 single malt gift box,Lagavulin 16 - R1275,,
Johnnie Walker,Black Label,blend,12.0,750,391.3,step_up,1,medium,core,retail_chain,lower,promo_stack,0,Sandton,18,mixed,weekend top-up,primary,0,59.0,1,familiar,Johnnie Walker Black Label Scotch 750ml gift box,J Walker Black Label Gift,,"buyer seemed curious, not fully convinced"
